hash,pluginkey,shortname,longname
AO_8496F9,agile.estimation.3.0_private,planningpoker,Planning poker for JIRA
AO_BF7624,agile.retrospectives,agileretro,Agile Retrospectives for JIRA
AO_299380,amoeboids.releasenotes,relnotes,Automated Release Notes
AO_1EF9DD,au.com.adweb.plugin.mischrs,hourslog,Misc. Hours Logging
AO_788523,biz.epicreport.epicreports,pivotreport,Pivot Report
AO_499D56,biz.epicreport.worklogs,worklogsreport,Worklogs Report
AO_2DA43D,capacity-tracker-plugin,capacitytracker,Capacity Tracker
AO_9C8F64,ch.bitvoodoo.jira.plugins.customfieldsync,cfoptsync,Custom Field Option Synchroniser
AO_BA68D6,co.uk.jackgraves.jira-optimiser,optimizer,Optimizer for Jira
AO_FD6F52,com.abdhiware.releasedog,releasedog,releasedog
AO_222C21,com.adweb.estimations.estimationUpdate,estimation,Tracking and Estimation for Jira
AO_E2B9A5,com.akeles.jira.plugins.TableCustomFields,tablecf,Table Custom Fields
AO_8DD30D,com.akelesconsulting.jira.plugins.AttachmentChecker,attachmentchecker,Attachment Checker for Jira
AO_C30643,com.akelesconsulting.jira.plugins.CannedSearchGadget,cannedsearch,Canned Search Gadget
AO_299E6C,com.akelesconsulting.jira.plugins.LookupManager,lookupmanager,Lookup Manager
AO_86B55C,com.akelesconsulting.jira.plugins.OutOfOfficeAssistant,outofoffice,Out Of Office Assistant
AO_C069E0,com.akelesconsulting.jira.plugins.SQLReporter,sqlreporter,SQL Reporter
AO_9B0D9B,com.allenta.jira.plugins.gitlab.gitlab-listener,gitlab,GitLab Listener
AO_8BAD1B,com.almworks.jira.structure,structure,Structure
AO_9F079B,com.apanasevich.jira-jigit-plugin,jigit,Jigit Plugin
AO_6714C7,com.arsenalesystems.dataplane,dataplane,Arsenale Dataplane
AO_DDA217,com.artezio.artjiraboard.jiraboard-plugin,arteziokanban,Artezio Kanban Board for Jira
AO_A1636C,com.atlassian.cps.activityIcon,jiractivity,Activity for Jira
AO_8AAAB7,com.atlassian.cps.sumUp,sumup,sumUp for Jira
AO_C16815,com.atlassian.jira.diagnostics,jiradiagnostics,Atlassian Jira - Plugins - Diagnostics Plugin
AO_BD1E3C,com.atlassian.jira.jira-autolink-plugin,autolink,JIRA AutoLink Plugin
AO_2C4E5C,com.atlassian.jira.jira-email-processor-plugin,jiraemailprocessor,jira-email-processor-plugin
AO_97EDAB,com.atlassian.jira.jira-invite-user-plugin,jirainvite,Atlassian Jira - Plugins - Invite User
AO_3B1893,com.atlassian.jira.jira-mail-plugin,jiramail,Atlassian Jira - Plugins - Mail Plugin
AO_550953,com.atlassian.jira.jira-projects-plugin,jiraprojects,Jira Projects Plugin
AO_0A5972,com.atlassian.jira.mobile.jira-mobile-rest,jiramobile,Mobile Plugin for Jira
AO_733371,com.atlassian.jira.plugins.inform.event-plugin,inform,Jira inform - event plugin
AO_E8B6CC,com.atlassian.jira.plugins.jira-bitbucket-connector-plugin,dvcs,Jira DVCS Connector Plugin
AO_575BF5,com.atlassian.jira.plugins.jira-development-integration-plugin,jiradevint,Atlassian Jira - Plugins - Development Integration Plugin
AO_0AC321,com.atlassian.jira.plugins.jira-optimizer-plugin,jiraoptimizer,jira-optimizer-plugin
AO_CFF990,com.atlassian.jira.plugins.jira-transition-triggers-plugin,jiratranstrigger,Atlassian Jira - Plugins - Transition Trigger Plugin
AO_4AEACD,com.atlassian.jira.plugins.webhooks.jira-webhooks-plugin,jirawebhooks,Atlassian Jira - Plugins - WebHooks Plugin
AO_7A2604,com.atlassian.jira.plugins.workinghours,workhours,JIRA Working Hours Plugin
AO_B9A0F0,com.atlassian.jira.project-templates-plugin,projtemplates,Project Templates Plugin
AO_D9132D,com.atlassian.jpo,portfolio,Portfolio plans
AO_587B34,com.atlassian.labs.hipchat.hipchat-for-jira-plugin,hipchat,Hipchat for Jira
AO_F1B27B,com.atlassian.plugin.timedpromise.atlassian-timed-promise-plugin,timedpromise,Atlassian Timed Promise Plugin
AO_38321B,com.atlassian.plugins.atlassian-nav-links-plugin,navlinks,Atlassian Navigation Links Plugin
AO_21D670,com.atlassian.plugins.atlassian-whitelist-core-plugin,whitelist,Atlassian Whitelist Core Plugin
AO_ED669C,com.atlassian.plugins.authentication.atlassian-authentication-plugin,saml,SAML for Atlassian Data Center
AO_5FB9D7,com.atlassian.plugins.base-hipchat-integration-plugin-api,hipchat,Atlassian Hipchat Integration Plugin Core
AO_319474,com.atlassian.psmq,psmq,psmq-plugin
AO_54307E,com.atlassian.servicedesk,jsd,JIRA Service Desk
AO_56464C,com.atlassian.servicedesk.approvals-plugin,jsd,Service Desk Approvals Plugin
AO_9B2E3B,com.atlassian.servicedesk.plugins.automation.servicedesk-automation-plugin,jsd,Service Desk Automation Plugin
AO_D530BB,com.atlassian.servicedesk.servicedesk-canned-responses-plugin,jsd,Service Desk Canned Responses Plugin
AO_C7F17E,com.atlassian.servicedesk.servicedesk-lingo-plugin,jsd,Service Desk Lingo Plugin
AO_4E8AE6,com.atlassian.servicedesk.servicedesk-notifications-plugin,jsd,Service Desk Notifications Plugin
AO_0201F0,com.atlassian.servicedesk.servicedesk-reports-plugin,jsd,Service Desk Reports Plugin
AO_563AEE,com.atlassian.streams.streams-thirdparty-plugin,streams,Streams Third Party Provider Plugin
AO_82B313,com.atlassian.teams,portfolioteam,Portfolio Team Management
AO_23011C,com.atlassian.translations.jira.inproduct,jiratranslations,InProduct translation for JIRA
AO_4789DD,com.atlassian.troubleshooting.plugin-jira,support,Atlassian Troubleshooting and Support Tools
AO_A0B856,com.atlassian.webhooks.atlassian-webhooks-plugin,webhooks,Atlassian WebHooks Plugin
AO_21F425,com.atlassian.whisper.atlassian-whisper-plugin,atlnotifications,Atlassian Notifications
AO_F3C482,com.atsistemas.jira.addons.notify-me,notifyme,NotifyMe!
AO_E36E26,com.atsistemas.jira.plugins.pageme,pageme,PageMe!
AO_39E198,com.balsamiq.jira.plugins.mockups,mockups,Balsamiq Wireframes for JIRA Server
AO_3A112F,com.botronsoft.jira.rollout.configuration-manager-core,configmanagercore,Configuration Manager Core Bundle
AO_877885,com.brizoit.companycalendar,companycalendar,Company Calendar for JIRA
AO_E7E13A,com.bugpotion.jiraffe,jiraffe,Jiraffe
AO_8D4C0F,com.candylio.jira.plugins.jira-csat,csat,Customer Satisfaction Survey for JIRA
AO_CD1DD1,com.candylio.jira.plugins.jira-nps,nps,NPS Survey for JIRA and JIRA Service Desk
AO_13D3DF,com.caritteprod.group-ambassadors,groupambassadors,Group Ambassadors
AO_589059,com.codebarrel.addons.automation,automation,Automation for Jira
AO_430618,com.coresoftlabs.common.calendar,coresoftcal,Calendar (CoreSoft Labs Commons)
AO_713E23,com.coresoftlabs.jira.workflow-powerbox,wfpowerbox,Workflow Powerbox
AO_B98A89,com.coresoftlabs.secure-fields.secure-fields,securefields,Secure Fields
AO_E0F72F,com.coresoftlabs.sla_powerbox.sla_powerbox,slapowerbox,SLA PowerBox
AO_58EA67,com.cprime.jira.plugins.surveyproject,jsdsurveys,Surveys for Service Desk
AO_0EC4DF,com.curvc.atlas.jira.plugin.issuehistory,historyprinter,Issue History Printer for JIRA
AO_DCF489,com.decadis.jira.xchart.xchart-core,xcharts,xCharts - Custom Charts and Reports for Jira
AO_396840,com.decadis.jira.xport,xport,xPort - Custom Worklog Export for JIRA
AO_F5A203,com.decadis.xtools-for-jira,xtools,Admin Toolbox for Jira
AO_C4B6C1,com.deiser.jira.exporter,exporter,Exporter - Export Issues to Excel CSV PDF
AO_00B950,com.deiser.jira.profields,profields,Profields - Project Custom Fields
AO_854ED6,com.deiser.jira.workload.workload,workload,Workload
AO_00C882,com.deniz.jira.customfields,cfpp,CustomFields++
AO_AFAA51,com.deniz.jira.reminders,reminders,Issue Reminders for Jira
AO_53699B,com.deniz.jira.similarissues,similarissues,Similar Issues Finder
AO_102D86,com.deniz.jira.versioning,versioning,Configuration Management Toolkit
AO_7B9828,com.deniz.jira.worklog,worklogpro,WorklogPRO
AO_1E3ECE,com.develocenter.jira.links-scheme,schemes,Extended Schemes for JIRA
AO_AC8402,com.device42.atlas.jira.d42jira,device42,Device42 JIRA Connector
AO_B50D50,com.deviniti.atlassian.apps.extension-myrequests,jsdmyrequests,My Requests Extension for Jira Service Desk
AO_935429,com.dolby.atlassian.jira.jirasu,jirasu,SU for JIRA
AO_B8EFDD,com.dortiz.jira.plugin.shared.SharedManager,sharedmanager,Shared Manager
AO_1273F8,com.easesolutions.jira.plugins.coverage,coverage,Coverage Services
AO_242870,com.easesolutions.jira.plugins.requirements,r4j,R4J - Requirements Management for Jira
AO_98448A,com.empyra.auc.AutoUserCreator,userimporter,CSV User Importer for jira
AO_0802A2,com.enhancera.pii.pii4jira,piiprotector,PII Protector for Jira
AO_08F1AF,com.exalate.jiranode,exalate,Exalate
AO_CEEE86,com.flyingagile.jira.plugin.aip,agileprinter,Agile Issue Printer
AO_6A3064,com.gebsun.plugins.jira.defaultvalues,createdefaults,Default Values for Create Issue screen
AO_2D1742,com.gebsun.plugins.jira.startwork,startwork,Automated Log Work for JIRA
AO_AC093E,com.gliffy.integration.jira,gliffy,Gliffy Diagrams for JIRA
AO_69E499,com.go2group.jira.plugin.synapse,synapse,synapseRT - Test management and QA in JIRA
AO_7C2234,com.googlecode.jira-suite-utilities,jsu,JSU Automation Suite for Jira Workflows
AO_D195E9,com.herzum.jira.plugin.approval.herzum-approval-plugin,approval,Herzum Approval Plugin
AO_3F6548,com.herzum.jira.plugins.herzum-quick-linker,quicklink,Herzum Quick Linker
AO_459C0D,com.holydev.env.plugin.jira-holydev-env-plugin,golive,Apwide Golive
AO_272C37,com.idalko.jira.plugins.igrid,igrid,iDalko Table Grid plugin
AO_085EFF,com.idalko.pivotgadget,pivotgadget,The Pivot Gadget
AO_4C3E54,com.inboxforjira.inbox,inbox,Inbox for JIRA
AO_5A68F6,com.infostretch.QmetryTestManager,qmetry,QMetry for Jira - Test Management
AO_248DF5,com.infosysta.jira.in-app-and-desktop-notifications-for-jira,desktopnotify,In-App and Desktop Notifications for JIRA
AO_B1EC07,com.infosysta.jira.JAM,jam,AMJ - Attachment Manager for JIRA
AO_BD1080,com.infosysta.plugins.licensing.license,outlook,Outlook To JIRA
AO_B300F0,com.innovalog.jmcf.jira-misc-custom-fields,jmcf,Jira Misc Custom Fields
AO_33A75D,com.intenso.jira.issue-templates,issuetemplates,Issue Templates for Jira (Gold Edition)
AO_8CB340,com.intenso.jira.plugin.dynamic-forms,dynaforms,Dynamic Forms for Jira
AO_3D787C,com.intenso.jira.plugin.livechat,livechat,LiveChat
AO_34AB25,com.intenso.jira.plugins.actions.jsd-actions,jsdactions,Actions for JIRA Service Desk
AO_9BFD01,com.intenso.jira.plugins.ad-integration-manager,adattrsync,Active Directory Attributes Sync
AO_61F280,com.intenso.jira.plugins.cfr.electronic-signature,esigs,Electronic Signature for Jira
AO_717BDC,com.intenso.jira.plugins.condval.intenso-conditions-validator,condvalidator,Help (a.k.a. Conditions Validator)
AO_F04B02,com.intenso.jira.plugins.jira-approvals,approvals,Approvals â€“ advanced issue acceptance
AO_2AE210,com.intenso.jira.plugins.jsd-extender,jsdextender,Extension for Jira Service Desk
AO_455C86,com.intenso.jira.plugins.password-policy,passwordpolicy,Enterprise Password Policy
AO_18A588,com.intenso.jira.plugins.suiTest,testflo,TestFLO for Test Management
AO_6D516B,com.intenso.jira.plugins.synchronizer,issuesync,IssueSYNC
AO_BC9342,com.intenso.jira.plugins.translation.jsd-translation,jsdtranlation,Translation for JIRA Service Desk
AO_C1221E,com.intenso.jira.queues-extension,queues,Cross Project Queues
AO_551312,com.itransition.csam.helpcenter-corrector,corrector,HelpCenter Corrector
AO_F86E5E,com.j-tricks.jql-plugin,jqlt,JQL Tricks Plugin
AO_78C957,com.javahollic.jira.jemh-ui,jemh,Enterprise Mail Handler (JEMH) for Jira Server
AO_BF7F57,com.javahollic.log-tailer-jira,logtailer,Log Tailer for JIRA
AO_595E00,com.jelldesk.apps.embeddable-widget,embeddablejira,"Embeddable for JIRA, JIRA Service Desk"
AO_BF4748,com.jiraeditor.jeditor,jeditor,JEditor
AO_426761,com.jiraworkcalendar.work-calendar,workcal,Work Time Calendar
AO_3BA132,com.jtricks.simplified-planner,simplifiedplanner,Simplified Planner for JIRA
AO_A912D8,com.k15t.backbone.backbone-issue-sync,backbonesync,Backbone Issue Sync for Jira
AO_1B155C,com.kaanha.jira.tableau,tableau,All-In-One Tableau Connector for Jira
AO_6B9F04,com.kaanha.reports,aioreports,AIO Reports and Timesheets for Jira
AO_D9F874,com.kaanha.timesheets,kaanahtimesheets,All-In-One Timesheets for Jira
AO_4D28DD,com.kanoah.test-manager,testmanagement,Test Management for JIRA
AO_1114A6,com.keplerrominfo.jira.plugins.blitz-actions,kepler,Power Actions for JIRA
AO_1B54DA,com.keplerrominfo.jira.plugins.commons,sil,SIL Engine
AO_3F6C61,com.keplerrominfo.jira.plugins.jjupin,kepler,Power Scripts for JIRA
AO_CE20B8,com.keplerrominfo.jira.plugins.keplercf,kepler,Power Custom Fields Premium
AO_5A70E4,com.keplerrominfo.jira.plugins.rightsdna,rightsdna,Rights DNA
AO_8BF6AE,com.kintosoft.jira.birt_viewer,birt,Eclipse BIRT for Jira
AO_D98188,com.kintosoft.jira.jdbc.cf.sql-custom-fields,sqlcf,SQL+JQL Custom Fields
AO_2B6364,com.kintosoft.jira.subversion-plus,svn,Subversion ALM
AO_04376E,com.kintosot.jira.jdbc4jql,jdbc4jql,SQL+JQL Driver
AO_4B0B86,com.kostebekteknoloji.plugins.jira.jira-comment-toolbox,commenttoolbox,Jira Comment Toolbox
AO_941C01,com.kostebekteknoloji.plugins.jira.jira-service-desk-toolbox,jsdtoolbox,Toolbox for Jira Service Desk
AO_D1BE42,com.kostebekteknoloji.plugins.jira.jira-traceability-matrix,traceability,Traceability Matrix and Link Graph
AO_3FB43F,com.marvelution.jira.plugins.jenkins,jenkins,Jenkins Integration for Jira Server
AO_47EAC7,com.metainf.jira.plugin.bug-watcher,bugwatcher,Bug Watcher Notifications
AO_544E33,com.metainf.jira.plugin.emailissue,jeti,Email This Issue
AO_09E361,com.midori.jira.plugin.betterexcel,betterexcel,Better Excel Exporter for Jira
AO_764F4D,com.midori.jira.plugin.jira-commit-policy-plugin,bettercommit,Better Commit Policy for Jira
AO_A83C21,com.midori.jira.plugin.pdfview,betterpdf,Better PDF Exporter for Jira
AO_FF4886,com.mobilitystream.jira.google4jiracloud,gsheets,Google Sheets Integration
AO_CE4B6D,com.mohamicorp.plugin.autowatch.autowatch-for-jira,autowatch,Autowatch for JIRA
AO_7C2DE0,com.moqups.atlassian.moqups-jira,moqups,Moqups for Jira Server
AO_52302C,com.moresimp.aomodule,moresimp,Moresimp ActiveObjects Module
AO_3198A9,com.moresimp.impex,impex,ImpEx
AO_DB39E1,com.moresimp.jexcel,jexcel,JExcel LITE
AO_14A4BF,com.moresimp.jexcel.pro,jexcel,JExcel PRO
